platform;text;caption;url;views_text;views;Likes;Comments;Shares;Hashtag
tiktok;OMG! Jackson Wang say congratulations to No Na;OMG ????;https://www.tiktok.com/@k_idoluniverse/video/7511225081272585477;2,9 JT;2900000;216300;626;2142;#jacksonwang #nona #support #88rising #headinthecluods #HITC #losangeles #baila #esther #christy #shaz #fyp #girlgroup #tiktoktainment #nona88rising #nonawav #girlgroupindo #88risingstartsinthemaking #TerNonaNona
tiktok;Simak profil empat member No Na;cantik, pintar dan berbakat semua nih membernya??;https://www.tiktok.com/@nona_maniseeee/photo/7500486614150335750;2,5 JT;2500000;84600;786;1404;#nona88rising #nonawav #girlgroupindo #88rising #ternonanona  #richbrian #niki #music #musicvideo #musikindonesia #musikhitsindonesia #nona #bailafauri #esthergeraldine #shazfaadesya #christygardena #88risingcoachella #88risingstarsinthemaking #fans88rising #fyp #fypage #fyppppppppppppppppppppppp
tiktok;Dari Indonesia ke dunia, No Na akan tampil perdana secara live di HITC 2025;"NO NA TEMBUS INTERNASIONAL?! ????
Girl group asal Indonesia ini bakal tampil di HITC 2025 - LA buat LIVE PERFORMANCE PERTAMA mereka!
Dari lokal jadi global... ini gila sih ??????";https://www.tiktok.com/@racerrrnona/video/7504171664876244279;2,4 JT;2400000;64900;633;1842;"#88risingstarsinthemaking
#nona88rising #ternonanona #girlgroupindo #nonawav #NONA #HITC2025 #HeadInTheClouds #GirlGroupIndonesia  
#FYP #FYP? #BeritaViral #CewekKeren #IndonesiaBangga  
#MusikIndonesia #KpopVibes #ViralTikTok #DebutStage  
#TalentaLokal #DariIndonesiaUntukDunia"
tiktok;When Baila's natural beauty got questioned;"When she looks naturally pretty that's where people questioning it even more???
I BELIEVE U BAILA????";https://www.tiktok.com/@nonawavrising/video/7592925401014455559;1,8 JT;1800000;104600;264;1864;#88risingstarsinthemaking #nona #baila #live #fyp 
tiktok;Makin mendunia! Lagu No Na diperkenalkan di Radio Amerika;Makin bangga sama No Na ? @88rising @nonawav;https://www.tiktok.com/@cerita.kpop/video/7505436965458742534;751,6 rb;751600;33100;338;212;#88rising #girlband #nona88rising #nonawav #88risingstartsinthemaking #TerNonaNona #kpop #fyp #fypage #girlgroupindo #indonesia #radio #amerika 
tiktok;Candu banget liat Shafza ngedance di bagian ini;Who's with me? ?? Candu bgt liat @shazfa.adesya ! Love your energyyy?????;https://www.tiktok.com/@nonawav.id/video/7501948132360473861;503,1 rb;503100;22400;67;252;#nona88rising #nonawav #girlgroupindo #88risingstartsinthemaking #TerNonaNona #bailafauri #esthergeraldine #shazfaadesya #christygardena #88rising #musicfyp #foryourpages #fyp?? #indonesiandance
tiktok;"No Na umumkan lagu baru ""Work"", siap rilis 23 Januari";"Belum lama bikin dunia panas lewat SIZZLE,
sekarang NO NA balik lagi dengan single baru berjudul “WORK.”

Rilis resmi 23 Januari.
Judulnya simpel, tapi energinya kelihatan gak main-main.
Siap-siap nambah playlist ????";https://www.tiktok.com/@racerrrnona/video/7598121254641601813;407,9 rb;407900;18800;177;197;"#NONA
#WORKbyNONA
#NewMusic
#GirlGroupIndonesia
#88rising "
tiktok;"No Na kembali mencuri perhatian lewat lagu terbaru ""Sizzle"" soundtrack Mobile Legends";"Nona Rilis Lagu Sizzle jadi Soundtrack Mobile Legends

#mbll #nona #nona88rising #nonawav #nona 
Nona Rilis Lagu Sizzle sebagai Soundtrack Mobile Legends
Dengarkan lagu terbaru Sizzle yang menjadi soundtrack Mobile Legends. Temukan informasi dan reaksi terbaru dari Nona!";https://vt.tiktok.com/ZS5gws6Bs/;357 rb;357000;21800;387;366;#mbll #nona #nona88rising
tiktok;No Na resmi jadi pengisi Anthem M7 World Championship MLBB;"Indonesia kembali hadir di panggung esports dunia.
No Na dipercaya mengisi anthem M7 World Championship MLBB lewat lagu “Sizzle.”

Kolaborasi musik dan esports ini jadi bukti bahwa talenta Indonesia
semakin diperhitungkan di level global.";https://www.tiktok.com/@jendelakeduaa/video/7591417538706214165;312,4 rb;312400;8280;266;460;"#NoNa
#Sizzle
#M7WorldChampionship
#MLBB
#MobileLegends"
tiktok;Sizzle reaction by Kess & Han reacts;"Sizzle Reaction by Kess & Han Reacts ???????? @nonawav @SHAZ @nona baila @queenetey @christygardena 

Source: YouTube Kess & Han Reacts";https://www.tiktok.com/@nonawav.id/video/7592483892871892244;309,2 rb;309200;15000;289;80;#nonawav #kessandhanreacts  #mobilelegends #mobilelegendsbangbang #foryou 
tiktok;No Na - Work life performance;Membalas @uarmymon_ work no na live performance at grand final m7;https://www.tiktok.com/@nona_orchids10/video/7599349062017518856;103,5 rb;103500;33300;507;561;#nona #work #liveperformance #m7 #fyppppp 
tiktok;"Fun fact about ""Work"" by Nona MV";stream work @no na;https://www.tiktok.com/@ariareari/video/7598561197754944776?_r=1&_t=ZS-93NzQVV5Brh;101,1 rb;101100;19000;68;298; #nona #88rising #comeback #viral #fyp
tiktok;No Na - Work reaction;no na - work (MV) was different! ?? here is my reaction;https://www.tiktok.com/@naruchantv/video/7599207724471029022?_r=1&_t=ZS-93Nyzl0sPnZ;76,7 rb;76700;7128;66;44;#nona #indonesia
tiktok;No Na - Work reaction;"Quem são essas divas do No Na?
Entregaram tudo com Work????

React - NO NA 'WORK' MV REACTION";https://www.tiktok.com/@luixmorais/video/7599114588524727570?_r=1&_t=ZS-93NzDmz6Gxg;48,6 rb;48600;7958;76;54;#nona #reaction #kpop #girlgroup
tiktok;No Na - Work reaction;"THIS AESTHETIC IS EVERYTHING! Reacting to no na - work
Exploring the Work Aesthetic Through TikTok Reactions
Dive into the captivating work aesthetic with fun TikTok reactions! Discover unique outfits, motivations, and routines. ";https://www.tiktok.com/@thesergiomendes/video/7598591762399120662?_r=1&_t=ZS-93NzPXQ7BWW;34,8 rb;34800;4162;84;32;#WorkAesthetic #WorkTok #AtWorkNotWorking
tiktok;No Na - Work reaction;THIS SLAPS ???????;https://www.tiktok.com/@popmusic_daily/video/7598636159249566990?_r=1&_t=ZS-93NzN2PNp1o;12,8 rb;12800;6183;39;48;#nona #nonawav #indonesian #newmusic #popmusic
tiktok;"No Na rilis single terbaru ""Work""";No Na baru rilis single terbaru dan fans langsung rame bahas dance-nya yang super keren banget! ???? Gerakannya rapi, energik, dan bikin bangga karena girl group Indonesia juga bisa tampil world-class! Kamu udah nonton dance practice-nya?;https://www.tiktok.com/@hypepop.magz/video/7598879003633569045?_r=1&_t=ZS-93NzIO7SRTJ;53,9 rb;53900;6058;173;79;#NoNa #GirlGroupIndonesia #DanceUnit #Work #88rising
tiktok;"No Na ""Work"" behind the scene";no na work behind the scene;https://www.tiktok.com/@nona_orchids10/video/7599207369607793936?_r=1&_t=ZS-93Nz3FCgLOW;14,6 rb;14600;943;18;9;#nona #work #behindthescenes #fyppppp
tiktok;Akhirnya lagu terbaru No Na rilis juga;akhirnya rilis juga @nonawav;https://www.tiktok.com/@fans.nona.88rinsing/video/7598506082532592917?_r=1&_t=ZS-93NzUezFZ4v;5,5 rb;5500;318;6;63; #work #88rising #fypppppppppp0pp
tiktok;Put in that Work;"PUT IN THAT WORK!!
NO NA WORK";https://www.tiktok.com/@orchids_nonawav/video/7598588639479647496?_r=1&_t=ZS-93NzOyhewBI;5 rb;5000;256;13;12; #nonawork  #nona #work #nonawork
tiktok;No Na - Work;"“no na” kembali di tahun 2026 dengan single terbaru mereka “work”. Lagu dengan arransement dance ini dirilis melalui 88rising, dengan video musik yang menampilkan para anggota grup menari mengikuti irama yang penuh semangat.

Lagu yang didominasi drum ini, didukung oleh irama Indonesia dan ritme yang terinspirasi gamelan, dentuman perkusi berpadu dengan melodi yang mudah dinyanyikan dan momentum yang tak henti-hentinya.

“Lagu ini tentang hadir, bekerja keras, dan meraih kesuksesan. Seperti yang dinyatakan oleh “no na”, ini adalah energi 'girl boss' yang berakar pada komunitas dan keahlian.";https://www.tiktok.com/@masukmusik.id/video/7599206611307089173?_r=1&_t=ZS-93Nz4iVpM9s;4,4 rb;4400;250;4;3;#masukmusik #masukyoutubemusik #nona #work
tiktok;No Na - Work;gatau knp tiba² lewat di pikiranku.. Just for fun ya gess ya ??????;https://www.tiktok.com/@ratxkitt/video/7599164076090035463?_r=1&_t=ZS-93Nz9LnZ4Sb;2 rb;2000;168;15;20; #fyp? #NoNa #work #xyzbca #viral
